예보일시,지역구분명,지역명,타입구분명,최소값,최대값,평균값,등급
2023-03-01 01:00,강원,동해산간,MOUNTAIN,6.8,54.5,20.3,낮음(관심)
2023-03-01 01:00,강원,삼척산간,MOUNTAIN,5.4,84.6,28.4,낮음(관심)
2023-03-01 01:00,강원,고성평지,COAST,8.1,64.8,30.1,낮음(관심)
2023-03-01 01:00,강원,속초평지,COAST,13.1,57.2,31.9,낮음(관심)
2023-03-01 01:00,강원,양양평지,COAST,8.1,63.5,29.8,낮음(관심)
2023-03-01 01:00,강원,강릉평지,COAST,6.8,77.4,42.2,낮음(관심)
2023-03-01 01:00,강원,동해평지,COAST,8.1,71.1,43,낮음(관심)
2023-03-01 01:00,강원,삼척평지,COAST,8.1,83.7,53.7,다소높음(주의)
2023-03-01 01:00,경북,울진산간,MOUNTAIN,5.4,59.4,30.7,낮음(관심)
2023-03-01 01:00,경북,영덕산간,MOUNTAIN,5.4,64.8,27.2,낮음(관심)
2023-03-01 01:00,경북,포항산간,MOUNTAIN,6.8,53.1,19.5,낮음(관심)
2023-03-01 01:00,경북,경주산간,MOUNTAIN,5.4,46.8,23.2,낮음(관심)
2023-03-01 01:00,경북,울진평지,COAST,10.8,64.8,44.3,낮음(관심)
2023-03-01 01:00,경북,영덕평지,COAST,5.4,64.8,41.5,낮음(관심)
2023-03-01 01:00,경북,포항평지,COAST,6.8,71.1,37.3,낮음(관심)
2023-03-01 01:00,경북,경주평지,COAST,8.1,46.8,27.4,낮음(관심)
2023-03-01 02:00,강원,고성산간,MOUNTAIN,10.8,46.8,17.4,낮음(관심)
2023-03-01 02:00,강원,속초산간,MOUNTAIN,11.7,45.9,18.2,낮음(관심)
2023-03-01 02:00,강원,양양산간,MOUNTAIN,11.7,39.6,17.3,낮음(관심)
2023-03-01 02:00,강원,강릉산간,MOUNTAIN,5.4,72,20.3,낮음(관심)
2023-03-01 02:00,강원,동해산간,MOUNTAIN,6.8,56.7,21.3,낮음(관심)
2023-03-01 02:00,강원,삼척산간,MOUNTAIN,5.4,78.3,26.8,낮음(관심)
2023-03-01 02:00,강원,고성평지,COAST,13.1,64.8,29.9,낮음(관심)
2023-03-01 02:00,강원,속초평지,COAST,12.2,57.2,31.5,낮음(관심)
2023-03-01 02:00,강원,양양평지,COAST,5.4,69.8,29.4,낮음(관심)
2023-03-01 02:00,강원,강릉평지,COAST,10.8,77.4,43.3,낮음(관심)
2023-03-01 02:00,강원,동해평지,COAST,6.8,76.1,43.9,낮음(관심)
2023-03-01 02:00,강원,삼척평지,COAST,6.8,78.3,52.5,다소높음(주의)
2023-03-01 02:00,경북,울진산간,MOUNTAIN,5.4,53.1,26.5,낮음(관심)
2023-03-01 02:00,경북,영덕산간,MOUNTAIN,5.4,53.1,23.3,낮음(관심)
2023-03-01 02:00,경북,포항산간,MOUNTAIN,5.4,59.4,21.8,낮음(관심)
2023-03-01 02:00,경북,경주산간,MOUNTAIN,5.4,50.9,23.2,낮음(관심)
2023-03-01 02:00,경북,울진평지,COAST,10.8,64.8,41.4,낮음(관심)
2023-03-01 02:00,경북,영덕평지,COAST,6.8,58.5,35.2,낮음(관심)
2023-03-01 02:00,경북,포항평지,COAST,8.1,71.1,40,낮음(관심)
2023-03-01 02:00,경북,경주평지,COAST,6.8,53.1,29.5,낮음(관심)
2023-03-01 03:00,강원,고성산간,MOUNTAIN,11.7,46.8,17.4,낮음(관심)
2023-03-01 03:00,강원,속초산간,MOUNTAIN,11.7,45.9,18.2,낮음(관심)
2023-03-01 03:00,강원,양양산간,MOUNTAIN,5.4,40.5,17.6,낮음(관심)
2023-03-01 03:00,강원,강릉산간,MOUNTAIN,6.8,72,21.1,낮음(관심)
2023-03-01 03:00,강원,동해산간,MOUNTAIN,8.1,56.7,21.4,낮음(관심)
2023-03-01 03:00,강원,삼척산간,MOUNTAIN,5.4,72,25.9,낮음(관심)
2023-03-01 03:00,강원,고성평지,COAST,10.8,64.8,29.6,낮음(관심)
2023-03-01 03:00,강원,속초평지,COAST,13.1,57.2,31.4,낮음(관심)
2023-03-01 03:00,강원,양양평지,COAST,8.1,57.2,30.6,낮음(관심)
2023-03-01 03:00,강원,강릉평지,COAST,8.1,77.4,43.7,낮음(관심)
2023-03-01 03:00,강원,동해평지,COAST,6.8,76.1,44.7,낮음(관심)
2023-03-01 03:00,강원,삼척평지,COAST,9.5,77.4,51,다소높음(주의)
2023-03-01 03:00,경북,울진산간,MOUNTAIN,5.4,53.1,27.2,낮음(관심)
2023-03-01 03:00,경북,영덕산간,MOUNTAIN,5.4,52.2,22.5,낮음(관심)
2023-03-01 03:00,경북,포항산간,MOUNTAIN,5.4,53.1,18.9,낮음(관심)
2023-03-01 03:00,경북,경주산간,MOUNTAIN,5.4,45.9,23.9,낮음(관심)
2023-03-01 03:00,경북,울진평지,COAST,9.5,64.8,42.2,낮음(관심)
2023-03-01 03:00,경북,영덕평지,COAST,6.8,52.2,33.8,낮음(관심)
2023-03-01 03:00,경북,포항평지,COAST,8.1,64.8,37.8,낮음(관심)
2023-03-01 03:00,경북,경주평지,COAST,8.1,52.2,31.4,낮음(관심)
2023-03-01 04:00,강원,고성산간,MOUNTAIN,8.1,46.8,17.3,낮음(관심)
2023-03-01 04:00,강원,속초산간,MOUNTAIN,11.7,39.6,18.1,낮음(관심)
2023-03-01 04:00,강원,양양산간,MOUNTAIN,5.4,40.5,18.5,낮음(관심)
2023-03-01 04:00,강원,강릉산간,MOUNTAIN,6.8,72,20.8,낮음(관심)
2023-03-01 04:00,강원,동해산간,MOUNTAIN,9.5,50.9,19.9,낮음(관심)
2023-03-01 04:00,강원,삼척산간,MOUNTAIN,5.4,72,25.4,낮음(관심)
2023-03-01 04:00,강원,고성평지,COAST,10.8,58.5,28.9,낮음(관심)
2023-03-01 04:00,강원,속초평지,COAST,13.1,54.5,28.9,낮음(관심)
2023-03-01 04:00,강원,양양평지,COAST,9.5,63.5,32.7,낮음(관심)
2023-03-01 04:00,강원,강릉평지,COAST,6.8,77.4,41.9,낮음(관심)
2023-03-01 04:00,강원,동해평지,COAST,9.5,71.1,40.8,낮음(관심)
2023-03-01 04:00,강원,삼척평지,COAST,8.1,77.4,48.7,낮음(관심)
2023-03-01 04:00,경북,울진산간,MOUNTAIN,5.4,52.2,27.5,낮음(관심)
2023-03-01 04:00,경북,영덕산간,MOUNTAIN,5.4,52.2,22.1,낮음(관심)
2023-03-01 04:00,경북,포항산간,MOUNTAIN,6.8,46.8,18.5,낮음(관심)
2023-03-01 04:00,경북,경주산간,MOUNTAIN,5.4,45.9,22.1,낮음(관심)
2023-03-01 04:00,경북,울진평지,COAST,9.5,58.5,41.7,낮음(관심)
2023-03-01 04:00,경북,영덕평지,COAST,8.1,52.2,32.6,낮음(관심)
2023-03-01 04:00,경북,포항평지,COAST,6.8,58.5,33.6,낮음(관심)
2023-03-01 04:00,경북,경주평지,COAST,6.8,46.8,28.1,낮음(관심)
2023-03-01 05:00,강원,고성산간,MOUNTAIN,6.8,46.8,17.4,낮음(관심)
2023-03-01 05:00,강원,속초산간,MOUNTAIN,11.7,39.6,18.1,낮음(관심)
2023-03-01 05:00,강원,양양산간,MOUNTAIN,5.4,44.6,18.7,낮음(관심)
2023-03-01 05:00,강원,강릉산간,MOUNTAIN,5.4,72,21.1,낮음(관심)
2023-03-01 05:00,강원,동해산간,MOUNTAIN,6.8,54.5,21.2,낮음(관심)
2023-03-01 05:00,강원,삼척산간,MOUNTAIN,5.4,72,25.2,낮음(관심)
2023-03-01 05:00,강원,고성평지,COAST,10.8,58.5,28.9,낮음(관심)
2023-03-01 05:00,강원,속초평지,COAST,13.1,50.9,28,낮음(관심)
2023-03-01 05:00,강원,양양평지,COAST,10.8,63.5,34.4,낮음(관심)
2023-03-01 05:00,강원,강릉평지,COAST,6.8,77.4,42.7,낮음(관심)
2023-03-01 05:00,강원,동해평지,COAST,6.8,71.1,41.4,낮음(관심)
2023-03-01 05:00,강원,삼척평지,COAST,10.8,77.4,48.4,낮음(관심)
2023-03-01 05:00,경북,울진산간,MOUNTAIN,5.4,52.2,26.8,낮음(관심)
2023-03-01 05:00,경북,영덕산간,MOUNTAIN,6.8,58.5,21.6,낮음(관심)
2023-03-01 05:00,경북,포항산간,MOUNTAIN,6.8,46.8,18.3,낮음(관심)
2023-03-01 05:00,경북,경주산간,MOUNTAIN,5.4,40.5,21.3,낮음(관심)
2023-03-01 05:00,경북,울진평지,COAST,6.8,64.8,41.1,낮음(관심)
2023-03-01 05:00,경북,영덕평지,COAST,6.8,58.5,33.3,낮음(관심)
2023-03-01 05:00,경북,포항평지,COAST,6.8,52.2,31.5,낮음(관심)
2023-03-01 05:00,경북,경주평지,COAST,9.5,45.9,26,낮음(관심)
2023-03-01 06:00,강원,고성산간,MOUNTAIN,11.7,46.8,17.3,낮음(관심)
2023-03-01 06:00,강원,속초산간,MOUNTAIN,11.7,39.6,18.1,낮음(관심)
2023-03-01 06:00,강원,양양산간,MOUNTAIN,5.4,46.8,18.5,낮음(관심)
2023-03-01 06:00,강원,강릉산간,MOUNTAIN,5.4,72,21.1,낮음(관심)
2023-03-01 06:00,강원,동해산간,MOUNTAIN,9.5,54.5,20.2,낮음(관심)
2023-03-01 06:00,강원,삼척산간,MOUNTAIN,5.4,72,24.6,낮음(관심)
2023-03-01 06:00,강원,고성평지,COAST,12.2,58.5,28.5,낮음(관심)
2023-03-01 06:00,강원,속초평지,COAST,8.1,50.9,28.1,낮음(관심)
2023-03-01 06:00,강원,양양평지,COAST,8.1,63.5,35,낮음(관심)
2023-03-01 06:00,강원,강릉평지,COAST,6.8,77.4,41.7,낮음(관심)
2023-03-01 06:00,강원,동해평지,COAST,6.8,76.1,42.1,낮음(관심)
2023-03-01 06:00,강원,삼척평지,COAST,6.8,77.4,43.9,낮음(관심)
2023-03-01 06:00,경북,울진산간,MOUNTAIN,5.4,53.1,30.9,낮음(관심)
2023-03-01 06:00,경북,영덕산간,MOUNTAIN,5.4,52.2,21.9,낮음(관심)
2023-03-01 06:00,경북,포항산간,MOUNTAIN,6.8,40.5,18.1,낮음(관심)
2023-03-01 06:00,경북,경주산간,MOUNTAIN,5.4,39.6,20.2,낮음(관심)
2023-03-01 06:00,경북,울진평지,COAST,9.5,64.8,43.6,낮음(관심)
2023-03-01 06:00,경북,영덕평지,COAST,6.8,52.2,33.3,낮음(관심)
2023-03-01 06:00,경북,포항평지,COAST,8.1,52.2,30.3,낮음(관심)
2023-03-01 06:00,경북,경주평지,COAST,9.5,39.6,25,낮음(관심)
2023-03-01 07:00,강원,고성산간,MOUNTAIN,6.8,46.8,17.3,낮음(관심)
2023-03-01 07:00,강원,속초산간,MOUNTAIN,11.7,39.6,18,낮음(관심)
2023-03-01 07:00,강원,양양산간,MOUNTAIN,5.4,44.6,17.9,낮음(관심)
2023-03-01 07:00,강원,강릉산간,MOUNTAIN,5.4,72,21,낮음(관심)
2023-03-01 07:00,강원,동해산간,MOUNTAIN,8.1,58.5,19.8,낮음(관심)
2023-03-01 07:00,강원,삼척산간,MOUNTAIN,5.4,72,24.7,낮음(관심)
2023-03-01 07:00,강원,고성평지,COAST,6.8,58.5,28.6,낮음(관심)
2023-03-01 07:00,강원,속초평지,COAST,6.8,52.2,28.2,낮음(관심)
2023-03-01 07:00,강원,양양평지,COAST,6.8,58.5,33.4,낮음(관심)
2023-03-01 07:00,강원,강릉평지,COAST,6.8,77.4,41.9,낮음(관심)
2023-03-01 07:00,강원,동해평지,COAST,8.1,77.4,42.8,낮음(관심)
2023-03-01 07:00,강원,삼척평지,COAST,6.8,77.4,43.9,낮음(관심)
2023-03-01 07:00,경북,울진산간,MOUNTAIN,5.4,58.5,31.2,낮음(관심)
2023-03-01 07:00,경북,영덕산간,MOUNTAIN,5.4,53.1,22.1,낮음(관심)
2023-03-01 07:00,경북,포항산간,MOUNTAIN,5.4,40.5,18,낮음(관심)
2023-03-01 07:00,경북,경주산간,MOUNTAIN,5.4,34.2,20,낮음(관심)
2023-03-01 07:00,경북,울진평지,COAST,8.1,64.8,42.9,낮음(관심)
2023-03-01 07:00,경북,영덕평지,COAST,6.8,58.5,32.7,낮음(관심)
2023-03-01 07:00,경북,포항평지,COAST,6.8,52.2,29.7,낮음(관심)
2023-03-01 07:00,경북,경주평지,COAST,6.8,39.6,24.3,낮음(관심)
2023-03-01 08:00,강원,고성산간,MOUNTAIN,9,53.1,17.5,낮음(관심)
2023-03-01 08:00,강원,속초산간,MOUNTAIN,11.7,39.6,18.1,낮음(관심)
2023-03-01 08:00,강원,양양산간,MOUNTAIN,5.4,46.8,18.6,낮음(관심)
2023-03-01 08:00,강원,강릉산간,MOUNTAIN,5.4,78.3,22.1,낮음(관심)
2023-03-01 08:00,강원,동해산간,MOUNTAIN,5.4,59.4,21.6,낮음(관심)
2023-03-01 08:00,강원,삼척산간,MOUNTAIN,5.4,78.3,28.1,낮음(관심)
2023-03-01 08:00,강원,고성평지,COAST,8.1,58.5,29.2,낮음(관심)
2023-03-01 08:00,강원,속초평지,COAST,12.2,52.2,28.7,낮음(관심)
2023-03-01 08:00,강원,양양평지,COAST,6.8,64.8,35.3,낮음(관심)
2023-03-01 08:00,강원,강릉평지,COAST,6.8,83.7,44.8,낮음(관심)
2023-03-01 08:00,강원,동해평지,COAST,6.8,77.4,45.6,낮음(관심)
2023-03-01 08:00,강원,삼척평지,COAST,6.8,83.7,47.8,낮음(관심)
2023-03-01 08:00,경북,울진산간,MOUNTAIN,5.4,58.5,32.2,낮음(관심)
2023-03-01 08:00,경북,영덕산간,MOUNTAIN,5.4,53.1,22.7,낮음(관심)
2023-03-01 08:00,경북,포항산간,MOUNTAIN,5.4,40.5,18.3,낮음(관심)
2023-03-01 08:00,경북,경주산간,MOUNTAIN,5.4,40.5,20.7,낮음(관심)
2023-03-01 08:00,경북,울진평지,COAST,6.8,58.5,42.5,낮음(관심)
2023-03-01 08:00,경북,영덕평지,COAST,6.8,58.5,32,낮음(관심)
2023-03-01 08:00,경북,포항평지,COAST,6.8,52.2,32.2,낮음(관심)
2023-03-01 08:00,경북,경주평지,COAST,8.1,45.9,26.7,낮음(관심)
2023-03-01 09:00,강원,고성산간,MOUNTAIN,5.4,46.8,17.6,낮음(관심)
2023-03-01 09:00,강원,속초산간,MOUNTAIN,11.7,52.2,18.2,낮음(관심)
2023-03-01 09:00,강원,양양산간,MOUNTAIN,5.4,46.8,20.4,낮음(관심)
2023-03-01 09:00,강원,강릉산간,MOUNTAIN,5.4,72,23.1,낮음(관심)
2023-03-01 09:00,강원,동해산간,MOUNTAIN,5.4,59.4,24.5,낮음(관심)
2023-03-01 09:00,강원,삼척산간,MOUNTAIN,5.4,72,28.2,낮음(관심)
2023-03-01 09:00,강원,고성평지,COAST,6.8,64.8,31,낮음(관심)
2023-03-01 09:00,강원,속초평지,COAST,12.2,58.5,32.9,낮음(관심)
2023-03-01 09:00,강원,양양평지,COAST,6.8,71.1,36,낮음(관심)
2023-03-01 09:00,강원,강릉평지,COAST,6.8,77.4,47.9,낮음(관심)
2023-03-01 09:00,강원,동해평지,COAST,6.8,77.4,46.7,낮음(관심)
2023-03-01 09:00,강원,삼척평지,COAST,6.8,77.4,52.1,다소높음(주의)
2023-03-01 09:00,경북,울진산간,MOUNTAIN,5.4,59.4,33.2,낮음(관심)
2023-03-01 09:00,경북,영덕산간,MOUNTAIN,5.4,58.5,27.1,낮음(관심)
2023-03-01 09:00,경북,포항산간,MOUNTAIN,5.4,46.8,23.1,낮음(관심)
2023-03-01 09:00,경북,경주산간,MOUNTAIN,6.8,45.9,23.7,낮음(관심)
2023-03-01 09:00,경북,울진평지,COAST,8.1,63.5,48,낮음(관심)
2023-03-01 09:00,경북,영덕평지,COAST,6.8,58.5,37,낮음(관심)
2023-03-01 09:00,경북,포항평지,COAST,6.8,52.2,37.2,낮음(관심)
2023-03-01 09:00,경북,경주평지,COAST,6.8,46.8,31.1,낮음(관심)
2023-03-01 10:00,강원,고성산간,MOUNTAIN,8.1,53.1,18,낮음(관심)
2023-03-01 10:00,강원,속초산간,MOUNTAIN,11.7,52.2,18.3,낮음(관심)
2023-03-01 10:00,강원,양양산간,MOUNTAIN,5.4,46.8,20.4,낮음(관심)
2023-03-01 10:00,강원,강릉산간,MOUNTAIN,5.4,78.3,26.2,낮음(관심)
2023-03-01 10:00,강원,동해산간,MOUNTAIN,5.4,60.8,26,낮음(관심)
2023-03-01 10:00,강원,삼척산간,MOUNTAIN,5.4,78.3,29.3,낮음(관심)
2023-03-01 10:00,강원,고성평지,COAST,12.2,64.8,32.4,낮음(관심)
2023-03-01 10:00,강원,속초평지,COAST,13.1,63.5,34.5,낮음(관심)
2023-03-01 10:00,강원,양양평지,COAST,8.1,69.8,35.7,낮음(관심)
2023-03-01 10:00,강원,강릉평지,COAST,8.1,83.7,51.2,다소높음(주의)
2023-03-01 10:00,강원,동해평지,COAST,5.4,78.3,48.7,낮음(관심)
2023-03-01 10:00,강원,삼척평지,COAST,10.8,83.7,54,다소높음(주의)
2023-03-01 10:00,경북,울진산간,MOUNTAIN,5.4,64.8,36.1,낮음(관심)
2023-03-01 10:00,경북,영덕산간,MOUNTAIN,6.8,58.5,33.7,낮음(관심)
2023-03-01 10:00,경북,포항산간,MOUNTAIN,5.4,53.1,30.9,낮음(관심)
2023-03-01 10:00,경북,경주산간,MOUNTAIN,5.4,52.2,30.9,낮음(관심)
2023-03-01 10:00,경북,울진평지,COAST,8.1,71.1,52.5,다소높음(주의)
2023-03-01 10:00,경북,영덕평지,COAST,6.8,64.8,42,낮음(관심)
2023-03-01 10:00,경북,포항평지,COAST,8.1,58.5,41.9,낮음(관심)
2023-03-01 10:00,경북,경주평지,COAST,10.8,52.2,37.6,낮음(관심)
2023-03-01 11:00,강원,고성산간,MOUNTAIN,6.8,53.1,18,낮음(관심)
2023-03-01 11:00,강원,속초산간,MOUNTAIN,11.7,52.2,18.3,낮음(관심)
2023-03-01 11:00,강원,양양산간,MOUNTAIN,5.4,46.8,21.1,낮음(관심)
2023-03-01 11:00,강원,강릉산간,MOUNTAIN,5.4,78.3,30.4,낮음(관심)
2023-03-01 11:00,강원,동해산간,MOUNTAIN,5.4,63.5,32.8,낮음(관심)
2023-03-01 11:00,강원,삼척산간,MOUNTAIN,5.4,78.3,30.2,낮음(관심)
2023-03-01 11:00,강원,고성평지,COAST,6.8,71.1,32.9,낮음(관심)
2023-03-01 11:00,강원,속초평지,COAST,13.1,63.5,35.6,낮음(관심)
2023-03-01 11:00,강원,양양평지,COAST,5.4,69.8,38.8,낮음(관심)
2023-03-01 11:00,강원,강릉평지,COAST,10.8,83.7,55.1,다소높음(주의)
2023-03-01 11:00,강원,동해평지,COAST,6.8,82.4,52,다소높음(주의)
2023-03-01 11:00,강원,삼척평지,COAST,9.5,83.7,55.6,다소높음(주의)
2023-03-01 11:00,경북,울진산간,MOUNTAIN,5.4,65.7,39.1,낮음(관심)
2023-03-01 11:00,경북,영덕산간,MOUNTAIN,5.4,64.8,37.7,낮음(관심)
2023-03-01 11:00,경북,포항산간,MOUNTAIN,5.4,59.4,37.2,낮음(관심)
2023-03-01 11:00,경북,경주산간,MOUNTAIN,5.4,64.8,37,낮음(관심)
2023-03-01 11:00,경북,울진평지,COAST,8.1,71.1,55,다소높음(주의)
2023-03-01 11:00,경북,영덕평지,COAST,6.8,64.8,45.7,낮음(관심)
2023-03-01 11:00,경북,포항평지,COAST,6.8,64.8,47.9,낮음(관심)
2023-03-01 11:00,경북,경주평지,COAST,10.8,64.8,42.2,낮음(관심)
2023-03-01 12:00,강원,고성산간,MOUNTAIN,5.4,59.4,18.4,낮음(관심)
2023-03-01 12:00,강원,속초산간,MOUNTAIN,11.7,45.9,18.2,낮음(관심)
2023-03-01 12:00,강원,양양산간,MOUNTAIN,5.4,46.8,21.1,낮음(관심)
2023-03-01 12:00,강원,강릉산간,MOUNTAIN,5.4,78.3,31.6,낮음(관심)
2023-03-01 12:00,강원,동해산간,MOUNTAIN,5.4,71.1,34.4,낮음(관심)
2023-03-01 12:00,강원,삼척산간,MOUNTAIN,5.4,78.3,34.1,낮음(관심)
2023-03-01 12:00,강원,고성평지,COAST,6.8,64.8,33.4,낮음(관심)
2023-03-01 12:00,강원,속초평지,COAST,13.1,58.5,33.4,낮음(관심)
2023-03-01 12:00,강원,양양평지,COAST,5.4,69.8,39,낮음(관심)
2023-03-01 12:00,강원,강릉평지,COAST,6.8,83.7,55.5,다소높음(주의)
2023-03-01 12:00,강원,동해평지,COAST,6.8,83.7,56.6,다소높음(주의)
2023-03-01 12:00,강원,삼척평지,COAST,6.8,83.7,58.2,다소높음(주의)
2023-03-01 12:00,경북,울진산간,MOUNTAIN,5.4,59.4,40.3,낮음(관심)
2023-03-01 12:00,경북,영덕산간,MOUNTAIN,5.4,59.4,37.3,낮음(관심)
2023-03-01 12:00,경북,포항산간,MOUNTAIN,5.4,67.1,38.5,낮음(관심)
2023-03-01 12:00,경북,경주산간,MOUNTAIN,5.4,71.1,37.8,낮음(관심)
2023-03-01 12:00,경북,울진평지,COAST,6.8,71.1,52.5,다소높음(주의)
2023-03-01 12:00,경북,영덕평지,COAST,6.8,59.4,46.3,낮음(관심)
2023-03-01 12:00,경북,포항평지,COAST,6.8,71.1,52,다소높음(주의)
2023-03-01 12:00,경북,경주평지,COAST,6.8,71.1,44.3,낮음(관심)
2023-03-01 13:00,강원,고성산간,MOUNTAIN,8.1,59.4,18.4,낮음(관심)
2023-03-01 13:00,강원,속초산간,MOUNTAIN,11.7,45.9,18.2,낮음(관심)
2023-03-01 13:00,강원,양양산간,MOUNTAIN,5.4,46.8,19.7,낮음(관심)
2023-03-01 13:00,강원,강릉산간,MOUNTAIN,5.4,78.3,30.7,낮음(관심)
2023-03-01 13:00,강원,동해산간,MOUNTAIN,9.5,67.1,33.6,낮음(관심)
2023-03-01 13:00,강원,삼척산간,MOUNTAIN,5.4,78.3,39.6,낮음(관심)
2023-03-01 13:00,강원,고성평지,COAST,8.1,64.8,33.4,낮음(관심)
2023-03-01 13:00,강원,속초평지,COAST,13.1,57.2,32.6,낮음(관심)
2023-03-01 13:00,강원,양양평지,COAST,9.5,64.8,36.8,낮음(관심)
2023-03-01 13:00,강원,강릉평지,COAST,8.1,83.7,54.8,다소높음(주의)
2023-03-01 13:00,강원,동해평지,COAST,14.9,83.7,52.1,다소높음(주의)
2023-03-01 13:00,강원,삼척평지,COAST,8.1,83.7,58.6,다소높음(주의)
2023-03-01 13:00,경북,울진산간,MOUNTAIN,5.4,65.7,42.5,낮음(관심)
2023-03-01 13:00,경북,영덕산간,MOUNTAIN,6.8,64.8,39.9,낮음(관심)
2023-03-01 13:00,경북,포항산간,MOUNTAIN,5.4,65.7,36.1,낮음(관심)
2023-03-01 13:00,경북,경주산간,MOUNTAIN,5.4,71.1,42.2,낮음(관심)
2023-03-01 13:00,경북,울진평지,COAST,8.1,71.1,56.4,다소높음(주의)
2023-03-01 13:00,경북,영덕평지,COAST,10.8,64.8,49.5,낮음(관심)
2023-03-01 13:00,경북,포항평지,COAST,9.5,71.1,49.1,낮음(관심)
2023-03-01 13:00,경북,경주평지,COAST,8.1,71.1,48.6,낮음(관심)
2023-03-01 14:00,강원,고성산간,MOUNTAIN,5.4,46.8,22.4,낮음(관심)
2023-03-01 14:00,강원,속초산간,MOUNTAIN,8.1,52.2,19.4,낮음(관심)
2023-03-01 14:00,강원,양양산간,MOUNTAIN,5.4,40.5,18.4,낮음(관심)
2023-03-01 14:00,강원,강릉산간,MOUNTAIN,5.4,63.5,23.7,낮음(관심)
2023-03-01 14:00,강원,동해산간,MOUNTAIN,5.4,50.9,27.2,낮음(관심)
2023-03-01 14:00,강원,삼척산간,MOUNTAIN,5.4,78.3,36.9,낮음(관심)
2023-03-01 14:00,강원,고성평지,COAST,10.8,71.1,35.9,낮음(관심)
2023-03-01 14:00,강원,속초평지,COAST,12.2,60.8,37.2,낮음(관심)
2023-03-01 14:00,강원,양양평지,COAST,8.1,64.8,33.8,낮음(관심)
2023-03-01 14:00,강원,강릉평지,COAST,10.8,64.8,42.8,낮음(관심)
2023-03-01 14:00,강원,동해평지,COAST,10.8,64.8,40.6,낮음(관심)
2023-03-01 14:00,강원,삼척평지,COAST,10.8,77.4,52.5,다소높음(주의)
2023-03-01 14:00,경북,울진산간,MOUNTAIN,5.4,71.1,45.5,낮음(관심)
2023-03-01 14:00,경북,영덕산간,MOUNTAIN,5.4,64.8,41,낮음(관심)
2023-03-01 14:00,경북,포항산간,MOUNTAIN,5.4,72,41.7,낮음(관심)
2023-03-01 14:00,경북,경주산간,MOUNTAIN,5.4,71.1,45.6,낮음(관심)
2023-03-01 14:00,경북,울진평지,COAST,6.8,77.4,58.7,다소높음(주의)
2023-03-01 14:00,경북,영덕평지,COAST,8.1,71.1,50.5,낮음(관심)
2023-03-01 14:00,경북,포항평지,COAST,8.1,77.4,55.4,다소높음(주의)
2023-03-01 14:00,경북,경주평지,COAST,8.1,77.4,50.8,낮음(관심)
2023-03-01 15:00,강원,고성산간,MOUNTAIN,5.4,59.4,26.3,낮음(관심)
2023-03-01 15:00,강원,속초산간,MOUNTAIN,5.4,64.8,21.2,낮음(관심)
2023-03-01 15:00,강원,양양산간,MOUNTAIN,5.4,53.1,22.3,낮음(관심)
2023-03-01 15:00,강원,강릉산간,MOUNTAIN,5.4,63.5,21.5,낮음(관심)
2023-03-01 15:00,강원,동해산간,MOUNTAIN,8.1,50.9,26.1,낮음(관심)
